Term_PK	Term_Name	Identifier	Is_Leaf	Synonyms	Parent_term_name	Parent_term_ID	GrandParent_term_name	GrandParent_term_ID
BTO:0000023BTO1	pectoral muscle	BTO:0000023	1	breast muscle, pectoralis muscle		BTO:0000508		
BTO:0000024BTO1	abomasum	BTO:0000024	1	fourth stomach		BTO:0001307		
BTO:0000025BTO1	amniotic cavity	BTO:0000025	1			BTO:0000065		
BTO:0000026BTO1	culture condition:galactose-grown cell	BTO:0000026	1			BTO:0001479		
BTO:0000027BTO1	achene	BTO:0000027	1			BTO:0000486		
BTO:0000028BTO1	pancreatic acinar cell	BTO:0000028	1	exocrine pancreas cell, pancreatic acinus		BTO:0000433		
BTO:0000028BTO1	pancreatic acinar cell	BTO:0000028	1	exocrine pancreas cell, pancreatic acinus		BTO:0000434		
BTO:0000029BTO1	adductor longus	BTO:0000029	1	long adductor muscle, musculus adductor longus	adductor	BTO:0000030		BTO:0001367
BTO:0000029BTO1	adductor longus	BTO:0000029	1	long adductor muscle, musculus adductor longus	adductor	BTO:0000030		BTO:0001376
BTO:0000030BTO1	adductor	BTO:0000030	0	adductor muscle		BTO:0001367		
BTO:0000030BTO1	adductor	BTO:0000030	0	adductor muscle		BTO:0001376		
BTO:0000031BTO1	fruit peduncle	BTO:0000031	1			BTO:0000486		
BTO:0000032BTO1	colonic adenocarcinoma cell	BTO:0000032	1	adenocarcinoma cell, colon, colon adenocarcinoma cell	colorectal adenocarcinoma cell	BTO:0000035		BTO:0000193
BTO:0000032BTO1	colonic adenocarcinoma cell	BTO:0000032	1	adenocarcinoma cell, colon, colon adenocarcinoma cell	colorectal adenocarcinoma cell	BTO:0000035		BTO:0000586
BTO:0000032BTO1	colonic adenocarcinoma cell	BTO:0000032	1	adenocarcinoma cell, colon, colon adenocarcinoma cell	colorectal adenocarcinoma cell	BTO:0000035		BTO:0000604
BTO:0000033BTO1	SW-403 cell	BTO:0000033	1	SW403 cell		BTO:0001913		
BTO:0000034BTO1	apical meristem	BTO:0000034	1			BTO:0000852		
BTO:0000034BTO1	apical meristem	BTO:0000034	1			BTO:0001300		
BTO:0000034BTO1	apical meristem	BTO:0000034	1			BTO:0001191		
BTO:0000034BTO1	apical meristem	BTO:0000034	1			BTO:0001188		
BTO:0000034BTO1	apical meristem	BTO:0000034	1			BTO:0000247		
BTO:0000035BTO1	colorectal adenocarcinoma cell	BTO:0000035	0	adenocarcinoma cell, colorectal		BTO:0000193		
BTO:0000035BTO1	colorectal adenocarcinoma cell	BTO:0000035	0	adenocarcinoma cell, colorectal		BTO:0000586		
BTO:0000035BTO1	colorectal adenocarcinoma cell	BTO:0000035	0	adenocarcinoma cell, colorectal		BTO:0000604		
BTO:0000036BTO1	gastric adenocarcinoma cell	BTO:0000036	1	adenocarcinoma cell of the stomach, gastric carcinoma cell		BTO:0000498		
BTO:0000036BTO1	gastric adenocarcinoma cell	BTO:0000036	1	adenocarcinoma cell of the stomach, gastric carcinoma cell		BTO:0000604		
BTO:0000037BTO1	renal cell carcinoma cell	BTO:0000037	1	adenocarcinoma cell of kidney, CCRCC cell, clear cell carcinoma cell, clear cell renal cell carcinoma cell, Grawitz`s tumor cell, hypernephroid carcinoma cell, hypernephroma cell, kidney adenocarcinoma cell, renal adenocarcinoma cell		BTO:0000604		
BTO:0000037BTO1	renal cell carcinoma cell	BTO:0000037	1	adenocarcinoma cell of kidney, CCRCC cell, clear cell carcinoma cell, clear cell renal cell carcinoma cell, Grawitz`s tumor cell, hypernephroid carcinoma cell, hypernephroma cell, kidney adenocarcinoma cell, renal adenocarcinoma cell		BTO:0000680		
BTO:0000038BTO1	SW-480 cell	BTO:0000038	1	SW480 cell		BTO:0001913		
BTO:0000039BTO1	root cap	BTO:0000039	1			BTO:0001191		
BTO:0000040BTO1	adenohypophysis	BTO:0000040	1	anterior hypophysis, anterior lobe of pituitary, anterior pituitary, anterior pituitary gland		BTO:0000496		
